id_hcn,site,date_int_ref,DATE_INIT_ASSESS,OUTCOME_CATEGORY_DESC
3286c,f,2013-08-23,2013-09-11,b
6954c,d,2017-09-05,2017-09-16,i
810c,e,2012-07-13,2012-07-29,h
3374c,e,2019-12-11,2019-12-30,j
12701c,i,2022-07-17,2022-08-06,c
4917,a,2020-04-30,2020-05-17,j
8637c,b,2018-05-13,2018-05-21,i
5864,g,2010-11-17,2010-11-26,c
9369c,d,2021-08-27,2021-09-12,b
14868c,a,2011-01-30,2011-02-12,d
7225c,h,2010-05-15,2010-05-27,a
4365c,g,2012-10-02,2012-10-06,e
13228c,j,2018-03-05,2018-03-10,h
7471,g,2012-12-11,2012-12-26,d
12072c,e,2017-12-29,2018-01-02,f
7195c,b,2018-12-18,2019-01-01,g
442c,b,2019-08-30,2019-09-16,f
9894c,b,2012-06-09,2012-06-12,g
8194c,i,2010-03-25,2010-03-28,g
12640c,e,2013-11-08,2013-11-28,i
8199c,i,2015-11-09,2015-11-17,i
12719c,a,2014-04-27,2014-05-17,f
1026,f,2015-04-10,2015-04-19,a
12626c,g,2019-04-16,2019-04-25,i
14880c,b,2011-08-07,2011-08-27,i
9596c,j,2022-06-16,2022-06-23,h
8650c,d,2012-11-08,2012-11-17,g
14270c,j,2022-12-28,2023-01-13,b
7748c,g,2018-04-08,2018-04-27,a
7929c,f,2014-03-07,2014-03-19,b
6449c,c,2022-03-21,2022-04-09,d
4205c,h,2020-09-22,2020-10-11,g
2276,a,2018-03-26,2018-04-12,c
9629,h,2022-12-08,2022-12-21,f
195c,e,2012-08-03,2012-08-21,e
1197c,f,2018-06-17,2018-06-19,b
71c,j,2022-10-27,2022-11-04,b
6091c,b,2019-01-14,2019-01-20,f
10379c,e,2010-06-16,2010-06-28,b
2889c,d,2010-01-04,2010-01-12,b
7904c,b,2022-06-14,2022-06-18,j
6513c,j,2017-02-22,2017-02-23,g
4865c,c,2013-11-04,2013-11-23,e
1953,c,2018-08-02,2018-08-18,e
7174c,a,2015-08-08,2015-08-25,b
471,b,2012-02-20,2012-03-03,b
13742c,c,2019-02-04,2019-02-20,a
3759c,f,2020-07-23,2020-08-10,i
5337,e,2020-05-05,2020-05-15,h
4938c,g,2017-03-06,2017-03-25,d
9640,e,2022-04-17,2022-05-06,b
3202,i,2022-07-01,2022-07-09,g
8275,b,2014-04-29,2014-05-03,e
8992c,g,2010-07-20,2010-08-09,e
14285c,d,2016-06-04,2016-06-10,b
650,a,2013-09-20,2013-09-21,c
8167,f,2021-02-25,2021-03-12,f
11871c,g,2021-11-18,2021-12-07,e
553,d,2013-05-23,2013-05-29,d
3557c,g,2010-09-01,2010-09-15,g
2569,h,2020-08-17,2020-08-24,j
6788,i,2019-09-17,2019-10-04,a
1732c,d,2010-03-04,2010-03-13,j
10567c,h,2011-11-01,2011-11-11,a
3230c,c,2021-10-29,2021-11-03,c
7315,h,2014-05-28,2014-06-16,g
3799,f,2014-01-22,2014-02-10,d
11983c,d,2021-03-23,2021-04-04,c
6757,e,2019-09-21,2019-09-23,g
1912,j,2021-09-24,2021-10-07,e
13201c,g,2012-05-08,2012-05-25,j
10682c,d,2020-11-05,2020-11-13,j
5293,j,2010-07-25,2010-07-27,h
3271,h,2013-01-06,2013-01-08,j
5015,h,2017-05-27,2017-05-28,j
3005,a,2021-04-11,2021-04-27,i
14451c,d,2011-03-19,2011-04-06,j
14697c,b,2013-05-22,2013-05-29,h
12711c,e,2022-03-19,2022-03-26,i
14023c,j,2011-09-05,2011-09-08,f
1378,a,2017-10-01,2017-10-19,a
6101,a,2014-02-19,2014-02-23,f
7018,j,2010-08-02,2010-08-16,f
8182c,d,2018-08-04,2018-08-16,h
9436,d,2018-03-08,2018-03-15,h
11303c,a,2020-03-26,2020-04-04,b
7073,f,2016-03-21,2016-03-29,e
10581c,b,2022-09-15,2022-10-04,e
296,i,2012-02-26,2012-03-14,i
9886c,i,2016-12-19,2016-12-21,a
8542,c,2013-05-01,2013-05-18,g
7049c,i,2018-08-06,2018-08-19,g
8416c,d,2018-07-04,2018-07-16,d
9578c,h,2015-10-28,2015-11-04,c
9734,i,2011-05-21,2011-05-30,a
3968c,e,2014-04-11,2014-04-25,j
13013c,c,2014-03-06,2014-03-21,b
5694c,c,2010-10-01,2010-10-13,g
14270c,b,2010-08-10,2010-08-21,h
9365c,d,2010-02-10,2010-02-12,h
9819,h,2014-11-14,2014-11-25,a
5349c,i,2012-12-14,2012-12-24,b
1153,c,2013-04-27,2013-05-06,b
5505,d,2015-10-18,2015-10-29,c
2221,i,2017-11-07,2017-11-19,f
11644c,j,2012-11-29,2012-12-18,e
9117c,h,2015-09-01,2015-09-15,c
13402c,b,2011-05-15,2011-05-31,j
9625c,j,2011-11-04,2011-11-17,g
801,e,2019-04-20,2019-04-28,a
12004c,g,2021-03-31,2021-04-03,a
8013,c,2018-02-22,2018-03-02,c
1038,b,2022-08-24,2022-09-07,h
6733c,b,2011-05-18,2011-05-31,g
13911c,e,2019-02-13,2019-02-20,j
8722,e,2020-08-31,2020-09-20,b
9048c,e,2020-02-17,2020-02-25,h
6674,b,2020-08-06,2020-08-12,j
2244c,g,2017-11-27,2017-11-29,b
1220c,c,2021-01-09,2021-01-11,f
13585c,e,2011-10-13,2011-10-14,g
1940,d,2020-06-05,2020-06-09,b
2175c,a,2022-01-27,2022-02-16,j
2838,d,2019-07-08,2019-07-24,e
6360c,d,2012-03-02,2012-03-22,d
12543c,i,2015-12-04,2015-12-17,e
2248c,i,2011-06-12,2011-06-22,c
13663c,i,2011-08-05,2011-08-19,c
8650,e,2014-09-01,2014-09-09,c
69,f,2016-05-24,2016-05-31,b
1100,a,2016-03-14,2016-03-18,c
11879c,e,2018-12-11,2018-12-12,b
8799c,a,2011-05-07,2011-05-25,b
5729,d,2022-12-28,2023-01-11,f
3686c,a,2010-11-10,2010-11-20,e
8067c,d,2011-02-27,2011-03-16,g
7405c,g,2011-04-20,2011-05-08,d
8629c,h,2021-11-28,2021-12-17,g
13495c,h,2016-04-06,2016-04-13,d
12684c,i,2010-11-18,2010-12-02,h
6436,a,2018-12-27,2019-01-14,h
8041c,j,2016-11-29,2016-12-17,h
1692,b,2013-09-30,2013-10-14,i
5133c,c,2015-07-28,2015-07-31,f
840c,h,2020-10-17,2020-10-22,c
4274,j,2010-03-16,2010-03-20,a
14315c,e,2013-03-09,2013-03-11,e
6787c,a,2015-03-28,2015-04-17,g
7336,a,2013-04-24,2013-05-02,h
2443,f,2021-10-15,2021-10-26,a
9770,d,2016-06-19,2016-06-27,f
3985,c,2012-10-08,2012-10-10,d
9708c,a,2018-07-23,2018-08-03,h
13121c,e,2022-04-12,2022-04-15,a
3516,f,2010-04-03,2010-04-19,d
9673c,i,2020-06-04,2020-06-15,g
7301,c,2019-01-14,2019-01-21,d
3114,d,2020-03-08,2020-03-23,d
2433c,b,2014-01-21,2014-02-06,f
1152c,a,2019-12-03,2019-12-09,i
14767c,g,2011-04-19,2011-04-22,e
6608,a,2014-12-02,2014-12-20,h
4021,e,2015-06-02,2015-06-21,j
9827c,h,2013-12-08,2013-12-20,c
410,h,2016-01-04,2016-01-15,c
11363c,c,2017-10-06,2017-10-13,e
1953c,e,2020-06-11,2020-06-29,e
5636c,j,2010-04-23,2010-04-26,e
11874c,j,2014-01-30,2014-02-02,e
8768c,b,2018-05-09,2018-05-26,j
6488,a,2012-04-06,2012-04-13,h
9738,j,2014-08-06,2014-08-08,c
5464,c,2019-12-17,2020-01-06,g
1519c,g,2011-05-21,2011-06-03,d
6404,j,2018-03-16,2018-03-19,i
5140c,i,2010-06-09,2010-06-23,h
2292,d,2022-02-15,2022-03-03,c
5320c,c,2011-10-31,2011-11-08,b
6760,i,2021-08-27,2021-09-11,a
4462c,e,2011-04-20,2011-04-26,c
6419c,f,2016-06-30,2016-07-17,h
775,f,2017-07-12,2017-07-21,f
10322c,h,2020-09-11,2020-09-22,e
4231,e,2019-01-12,2019-01-14,a
8818,d,2016-12-20,2016-12-21,b
1358,a,2016-02-02,2016-02-15,h
2032c,d,2016-05-12,2016-05-24,h
302c,a,2019-04-07,2019-04-15,j
7078,b,2020-01-18,2020-01-30,e
13446c,a,2018-10-03,2018-10-10,e
4792,h,2018-11-23,2018-12-06,f
412c,g,2017-04-17,2017-05-02,a
5292,j,2018-05-03,2018-05-17,h
12137c,e,2020-04-15,2020-04-18,e
13779c,i,2022-04-06,2022-04-10,g
2057c,g,2013-02-08,2013-02-23,f
14838c,j,2014-11-24,2014-11-26,i
4944c,b,2019-11-02,2019-11-04,f
3533,e,2019-10-27,2019-11-13,j
8725,b,2012-03-11,2012-03-14,h
5071,g,2020-10-27,2020-11-15,i
7015,f,2016-02-07,2016-02-22,b
6145,d,2016-03-15,2016-03-24,c
7646,g,2021-04-20,2021-04-26,e
9185,c,2014-01-20,2014-01-29,c
12896c,c,2011-04-20,2011-05-10,e
1129c,a,2022-11-13,2022-11-15,f
4597,d,2018-10-31,2018-11-12,j
12923c,e,2021-01-14,2021-01-25,b
1822,d,2010-07-28,2010-08-15,a
3310c,c,2015-09-04,2015-09-11,b
2013c,d,2018-10-24,2018-11-10,g
3952c,f,2018-08-29,2018-09-08,i
11974c,g,2020-07-29,2020-07-31,a
7323c,f,2021-02-09,2021-02-22,e
1212,e,2017-06-29,2017-07-13,i
4908c,d,2019-08-14,2019-08-25,b
10568c,i,2020-02-02,2020-02-21,i
2798,h,2019-06-11,2019-06-18,c
387,c,2014-09-30,2014-10-10,h
13120c,c,2015-02-25,2015-03-09,j
6799,h,2017-11-11,2017-11-14,g
4382c,b,2012-05-12,2012-05-15,i
13693c,g,2012-03-09,2012-03-23,b
851c,j,2018-12-05,2018-12-17,b
1040c,e,2020-05-04,2020-05-05,d
5296c,b,2021-10-23,2021-11-12,d
8123c,a,2021-03-30,2021-04-05,g
3261c,a,2014-08-18,2014-09-07,f
3070,d,2014-03-15,2014-03-16,g
12555c,i,2011-04-24,2011-05-03,d
3012,b,2021-04-05,2021-04-24,e
14197c,c,2016-01-11,2016-01-21,g
3745,e,2013-06-07,2013-06-24,c
2061c,h,2020-04-01,2020-04-11,d
4928c,c,2011-03-01,2011-03-19,d
7147c,f,2017-11-28,2017-12-02,f
9395,c,2020-07-12,2020-07-28,b
11579c,g,2019-07-05,2019-07-25,b
1967,f,2018-12-13,2018-12-16,i
9191,g,2019-10-30,2019-11-02,c
2218,b,2019-03-17,2019-04-02,h
2478,g,2012-07-15,2012-07-31,d
6398,j,2019-03-15,2019-03-20,j
2273c,d,2012-12-14,2012-12-30,i
2660c,e,2022-12-26,2022-12-29,j
6083c,j,2018-06-25,2018-07-06,j
10420c,h,2013-04-18,2013-04-30,j
9717,c,2013-02-04,2013-02-09,i
5047,a,2017-12-08,2017-12-19,d
6708c,j,2021-05-19,2021-05-23,d
5369c,d,2017-08-02,2017-08-03,b
4827c,b,2021-10-02,2021-10-12,j
6143c,c,2021-10-10,2021-10-21,c
9312c,b,2017-10-14,2017-10-18,b
4320c,g,2016-12-18,2016-12-29,a
7654c,c,2016-08-03,2016-08-23,f
11106c,h,2017-01-12,2017-01-31,a
1614,d,2010-10-16,2010-10-31,e
4811c,b,2012-08-10,2012-08-15,i
12378c,f,2013-04-24,2013-05-02,i
7019,f,2017-09-04,2017-09-16,j
9851,f,2010-05-31,2010-06-10,c
178c,f,2014-04-04,2014-04-24,d
6046c,f,2017-01-04,2017-01-05,j
13003c,c,2021-12-05,2021-12-16,f
4282,i,2013-01-30,2013-01-31,i
2310c,e,2022-02-27,2022-03-07,e
4947,i,2015-05-15,2015-06-02,c
3347,d,2014-09-24,2014-10-06,c
3284c,h,2012-01-01,2012-01-20,b
3984c,c,2011-03-19,2011-03-26,e
13300c,i,2011-09-09,2011-09-22,f
9331,f,2019-06-28,2019-07-17,g
8013c,i,2011-06-09,2011-06-23,e
6682,e,2016-01-18,2016-02-04,a
7104,j,2021-07-26,2021-08-11,d
2859c,f,2013-08-02,2013-08-18,b
982,f,2010-06-07,2010-06-24,d
2663,f,2015-12-14,2015-12-27,j
10708c,b,2021-05-20,2021-06-06,a
5992,i,2021-01-06,2021-01-19,b
10061c,h,2019-03-10,2019-03-29,h
6260,a,2014-03-03,2014-03-22,g
3699,b,2013-07-24,2013-08-13,h
9424,h,2018-12-28,2019-01-14,j
5254,e,2017-05-19,2017-06-05,e
3008c,d,2016-05-02,2016-05-15,h
9226,i,2015-01-03,2015-01-18,i
1549,i,2014-09-21,2014-09-28,h
1712c,f,2012-03-10,2012-03-18,j
1647,e,2011-09-28,2011-10-03,a
2414,a,2017-11-24,2017-12-04,j
1074c,c,2015-11-01,2015-11-20,e
2829,d,2013-04-09,2013-04-25,j
81c,c,2010-06-17,2010-07-01,b
2673c,c,2019-01-12,2019-01-18,c
14750c,g,2017-07-18,2017-07-26,j
5005,i,2011-09-12,2011-10-01,b
2821c,e,2015-10-06,2015-10-17,e
2836,e,2017-01-24,2017-02-13,g
6587,d,2018-04-26,2018-05-09,f
8904,i,2020-07-07,2020-07-27,h
1997c,g,2019-05-29,2019-06-05,b
11428c,i,2014-04-09,2014-04-10,d
8897,f,2015-03-23,2015-04-02,i
8488,j,2018-12-14,2018-12-15,b
10982c,d,2016-10-25,2016-10-26,h
1715c,f,2022-03-15,2022-03-22,e
13852c,i,2010-12-15,2011-01-03,i
10841c,b,2012-08-29,2012-09-01,h
5116,i,2022-04-06,2022-04-23,c
12822c,j,2017-03-31,2017-04-19,g
9660,d,2015-04-23,2015-05-03,h
333c,g,2015-03-04,2015-03-16,c
5503,b,2017-07-24,2017-07-29,i
8188,h,2016-11-15,2016-11-21,h
4564c,i,2014-11-04,2014-11-23,g
9108c,a,2020-11-16,2020-11-18,d
1113c,a,2018-09-15,2018-09-18,g
5625c,d,2021-09-02,2021-09-03,j
11789c,b,2018-11-13,2018-11-18,g
4153,j,2022-01-30,2022-02-17,j
2261c,b,2012-09-13,2012-09-29,e
8910,j,2012-09-30,2012-10-08,i
8706c,c,2017-03-22,2017-04-06,c
8233c,a,2016-09-23,2016-09-29,c
8445,g,2015-06-19,2015-06-25,d
6417,h,2019-04-30,2019-05-02,b
12105c,c,2014-10-19,2014-11-08,f
7759c,c,2015-02-26,2015-03-10,a
4186,b,2015-12-14,2015-12-25,a
8100c,b,2020-02-09,2020-02-11,j
7405c,c,2013-01-10,2013-01-18,a
9421,e,2020-12-26,2021-01-11,i
5948c,b,2021-02-21,2021-02-28,i
10188c,f,2013-09-08,2013-09-23,b
6019,a,2020-03-02,2020-03-21,i
2606,e,2020-03-31,2020-04-19,c
8822,f,2013-07-05,2013-07-10,d
4338,h,2011-12-05,2011-12-18,b
6151c,e,2012-12-11,2012-12-23,j
2848,i,2015-10-11,2015-10-17,a
5814,a,2013-08-08,2013-08-13,d
3845,c,2020-06-19,2020-06-22,h
12669c,a,2016-05-14,2016-06-03,a
7361c,d,2022-05-07,2022-05-23,g
12996c,b,2018-06-12,2018-06-20,i
8729,c,2020-06-05,2020-06-25,d
2866c,a,2010-11-15,2010-11-18,j
517,c,2021-02-02,2021-02-05,a
9958c,j,2016-12-10,2016-12-20,h
5635,g,2013-05-08,2013-05-21,f
14889c,f,2017-05-21,2017-05-27,e
9994,h,2020-04-24,2020-05-13,h
2778c,c,2019-12-03,2019-12-10,c
2130,b,2011-08-27,2011-09-15,b
1503,g,2021-04-24,2021-05-09,g
7147c,i,2018-03-24,2018-03-30,a
5099c,j,2022-08-11,2022-08-28,d
3486,h,2013-05-14,2013-05-28,a
8842,c,2020-02-21,2020-02-23,j
13353c,f,2014-08-22,2014-09-08,j
8751c,g,2015-09-14,2015-10-04,i
6697,b,2016-07-04,2016-07-19,d
3016,c,2010-08-25,2010-09-03,a
4856c,i,2022-12-30,2023-01-09,c
3172,e,2018-12-07,2018-12-17,g
2915c,b,2014-02-27,2014-03-05,a
4155c,a,2014-10-10,2014-10-20,e
7291c,c,2021-12-28,2022-01-10,g
2965,d,2011-07-05,2011-07-08,f
13631c,a,2020-05-01,2020-05-07,a
3565,c,2011-05-29,2011-06-14,f
7553,e,2011-02-07,2011-02-17,h
9748,b,2011-12-28,2012-01-13,f
5191,g,2017-12-24,2018-01-01,b
6110c,d,2016-07-24,2016-08-06,a
5374,a,2016-07-03,2016-07-22,j
12434c,b,2012-08-11,2012-08-30,d
14115c,f,2013-05-17,2013-05-19,b
7052,j,2014-12-28,2015-01-03,e
535c,e,2017-06-30,2017-07-11,j
9451,i,2011-02-07,2011-02-19,d
3908c,b,2016-05-04,2016-05-12,g
14971c,g,2021-04-23,2021-05-03,g
5880c,g,2020-11-28,2020-12-13,e
1222,j,2020-05-20,2020-05-25,h
6784c,e,2010-04-04,2010-04-11,j
5327c,h,2019-05-15,2019-05-18,b
5349c,a,2022-01-24,2022-01-31,b
6906,i,2020-03-22,2020-03-30,i
6496,b,2015-01-27,2015-02-13,c
89,i,2020-10-30,2020-11-01,g
3284,b,2010-08-17,2010-08-29,d
9246,e,2019-10-11,2019-10-22,i
11116c,i,2012-11-22,2012-11-28,g
3289,f,2017-12-27,2018-01-01,j
1232c,g,2019-06-04,2019-06-10,c
379,i,2022-05-26,2022-06-10,d
3114,e,2010-04-29,2010-05-09,e
4051c,e,2021-06-26,2021-06-27,f
5331c,d,2018-10-04,2018-10-05,j
615,e,2015-12-12,2015-12-21,i
4781c,f,2012-01-27,2012-02-14,a
5794c,h,2014-03-04,2014-03-20,i
9592,b,2011-01-28,2011-02-15,d
13822c,j,2013-10-08,2013-10-28,g
625c,c,2015-02-06,2015-02-08,i
10610c,j,2016-03-28,2016-04-11,f
8864,a,2012-08-20,2012-08-21,h
103,f,2015-09-05,2015-09-07,e
7031,a,2012-08-23,2012-09-03,b
3660,h,2020-04-12,2020-04-17,d
90c,h,2018-03-08,2018-03-22,e
1632,h,2016-08-23,2016-08-30,j
2481c,i,2018-12-27,2019-01-02,i
13773c,f,2016-02-20,2016-02-29,g
103,f,2016-08-28,2016-09-17,c
2883,g,2012-06-08,2012-06-13,e
11110c,b,2010-07-01,2010-07-16,h
5589c,b,2017-12-10,2017-12-30,c
1615,b,2020-05-27,2020-06-13,i
1539,e,2018-10-08,2018-10-27,i
6011c,h,2014-03-05,2014-03-09,j
4513,f,2012-04-26,2012-04-30,c
5295c,d,2022-01-29,2022-02-05,d
9209,a,2022-01-19,2022-01-20,d
8884,a,2022-04-05,2022-04-12,f
3006c,a,2012-07-15,2012-08-03,d
8123,h,2011-09-03,2011-09-10,i
9334,i,2011-11-01,2011-11-12,h
965,j,2010-06-07,2010-06-24,g
13038c,f,2011-05-19,2011-06-01,d
3824,f,2022-12-01,2022-12-13,a
9611,a,2010-01-03,2010-01-08,e
14260c,d,2011-07-01,2011-07-07,e
8013c,c,2016-05-06,2016-05-15,c
21,d,2014-05-14,2014-05-15,f
10484c,j,2019-09-04,2019-09-10,h
2831c,d,2021-07-20,2021-08-04,j
6964c,h,2021-02-09,2021-02-22,e
5381,e,2017-03-31,2017-04-06,c
8139,f,2016-03-11,2016-03-22,g
7038,f,2018-09-16,2018-10-06,i
10674c,g,2014-01-01,2014-01-04,d
9797,j,2015-09-19,2015-10-03,h
5858c,h,2013-09-10,2013-09-28,g
8391,f,2019-05-29,2019-06-15,g
13158c,g,2010-11-17,2010-11-22,f
3911c,e,2020-12-09,2020-12-23,i
1225c,c,2012-08-06,2012-08-24,i
8905,j,2011-12-15,2011-12-22,j
14387c,a,2016-03-29,2016-04-16,g
6518,f,2011-11-19,2011-12-06,g
29c,b,2012-10-05,2012-10-09,c
9957c,g,2015-02-26,2015-03-10,c
10858c,d,2014-01-08,2014-01-23,h
7236c,i,2011-02-11,2011-02-28,e
6693,a,2020-02-29,2020-03-06,d
6866c,b,2018-12-11,2018-12-17,a
3738,g,2020-09-22,2020-09-30,j
2147,i,2016-12-01,2016-12-08,f
1435,g,2011-07-29,2011-08-05,g
1252c,j,2016-11-26,2016-12-04,c
475,f,2013-08-22,2013-08-31,c
1213,e,2014-12-03,2014-12-17,b
9275,b,2017-05-19,2017-05-23,e
5715c,g,2021-10-30,2021-11-13,e
2512c,g,2021-04-23,2021-05-06,j
7090,e,2022-11-22,2022-12-11,a
9994c,j,2020-03-04,2020-03-10,h
7062c,e,2011-09-14,2011-10-02,i
3964,j,2022-09-10,2022-09-16,c
491,i,2020-10-15,2020-10-23,b
1139c,a,2015-02-09,2015-02-12,j
7899c,i,2010-01-28,2010-02-04,i
10075c,b,2016-10-07,2016-10-22,h
9429c,b,2010-09-13,2010-10-01,i
1149c,j,2015-06-18,2015-07-05,e
1120,e,2016-05-08,2016-05-24,d
9284c,j,2022-06-28,2022-07-06,c
14732c,a,2019-04-08,2019-04-21,h
13192c,i,2022-03-17,2022-04-06,b
6806c,f,2018-09-05,2018-09-20,d
2904,j,2013-01-28,2013-02-15,f
14479c,a,2013-08-06,2013-08-09,f
7104c,b,2010-09-12,2010-09-26,c
5547c,i,2014-02-23,2014-02-25,i
3724,c,2011-07-05,2011-07-08,i
1320,a,2016-03-09,2016-03-27,b
4121,d,2017-03-24,2017-04-12,c
4675,j,2015-12-19,2015-12-29,g
5581,h,2021-06-10,2021-06-11,i
4499,g,2016-06-04,2016-06-16,a
9846c,a,2013-05-03,2013-05-20,g
6384c,b,2020-02-19,2020-02-21,d
3833,g,2021-08-31,2021-09-20,j
1972,b,2021-01-29,2021-02-04,a
5970,i,2010-11-19,2010-12-09,e
8416,h,2012-01-04,2012-01-20,c
1934c,a,2021-06-18,2021-06-28,f
1097c,e,2015-06-04,2015-06-09,h
5830,c,2015-03-02,2015-03-17,g
14429c,j,2010-12-05,2010-12-25,c
13861c,a,2011-01-18,2011-02-04,g
1697,i,2016-07-14,2016-07-16,b
5024c,f,2014-08-18,2014-08-22,i
877,g,2020-01-16,2020-01-20,d
13237c,j,2020-08-09,2020-08-23,a
10527c,f,2019-09-24,2019-10-13,b
9299,a,2022-01-20,2022-01-27,b
5699,j,2021-10-01,2021-10-18,g
8281c,e,2015-03-26,2015-03-28,g
9624c,d,2010-12-30,2011-01-05,e
7776,f,2022-09-28,2022-10-01,h
8656,e,2011-08-22,2011-08-31,f
7237,g,2014-07-21,2014-08-04,i
7215c,a,2010-10-05,2010-10-08,c
2600,a,2014-02-07,2014-02-27,f
9618c,d,2019-09-04,2019-09-22,i
679,h,2013-05-11,2013-05-13,f
14024c,f,2010-07-01,2010-07-16,a
3850,d,2020-06-29,2020-07-14,d
14186c,f,2018-08-23,2018-09-10,i
4233,d,2021-06-17,2021-06-24,b
4970,i,2018-08-13,2018-09-01,c
345,d,2010-08-14,2010-08-16,f
1566,c,2018-08-31,2018-09-02,j
5646c,d,2016-08-15,2016-08-30,f
10647c,h,2018-02-24,2018-03-01,f
2728,h,2022-05-12,2022-05-25,g
13895c,d,2020-01-17,2020-01-21,c
1841c,j,2011-12-03,2011-12-18,h
1863,b,2019-06-07,2019-06-19,b
9032c,g,2011-05-03,2011-05-11,f
1176,e,2017-11-14,2017-12-04,i
1044c,g,2018-05-29,2018-06-18,e
9042,f,2019-08-12,2019-08-16,h
582c,d,2019-02-09,2019-02-19,b
12107c,h,2011-07-03,2011-07-13,a
8060,b,2011-01-13,2011-01-20,j
7577,g,2019-09-18,2019-09-27,f
5230c,d,2022-01-12,2022-01-27,h
11081c,a,2014-01-29,2014-02-12,g
2378c,h,2013-07-29,2013-08-02,f
8926c,g,2022-11-08,2022-11-17,a
6231,i,2020-07-28,2020-08-08,f
14076c,f,2018-10-03,2018-10-18,b
9447c,d,2018-12-07,2018-12-10,h
7137c,c,2015-03-09,2015-03-22,d
601,g,2018-06-08,2018-06-10,h
11191c,g,2022-02-06,2022-02-09,h
10700c,a,2015-02-08,2015-02-10,g
171c,d,2017-08-01,2017-08-16,b
2200c,h,2013-10-23,2013-10-31,g
8031,c,2013-09-16,2013-09-27,i
4819,f,2017-01-10,2017-01-30,e
12581c,c,2015-11-08,2015-11-12,c
6013c,f,2013-08-05,2013-08-15,e
4308,b,2015-03-24,2015-03-27,a
4441,j,2016-08-10,2016-08-22,h
9962,i,2021-07-24,2021-08-01,e
4793c,i,2010-06-03,2010-06-08,h
12888c,g,2022-04-14,2022-05-02,e
2434,i,2013-12-21,2013-12-23,e
6051c,c,2022-09-27,2022-10-15,d
4206,a,2013-10-01,2013-10-12,c
8428,a,2013-09-28,2013-10-18,d
14954c,d,2015-06-18,2015-07-04,h
14c,h,2010-10-26,2010-11-03,j
12761c,h,2010-05-10,2010-05-27,a
14853c,f,2013-01-08,2013-01-12,a
6007,c,2013-11-21,2013-12-02,f
5842c,f,2019-05-17,2019-05-28,h
8522c,e,2020-12-24,2020-12-28,c
892c,e,2017-05-19,2017-06-08,d
6231,d,2016-10-09,2016-10-23,j
2512c,e,2019-07-27,2019-08-03,d
4701c,e,2011-07-25,2011-07-29,g
13240c,i,2015-09-22,2015-09-30,d
640,i,2015-03-12,2015-03-16,f
11171c,d,2013-12-28,2014-01-07,f
6127c,a,2013-10-19,2013-11-08,d
4938,i,2017-05-27,2017-06-03,b
8194,d,2014-01-25,2014-02-10,f
8390,a,2012-09-13,2012-09-29,e
14614c,j,2012-07-06,2012-07-11,d
9840,j,2020-07-02,2020-07-20,b
7450c,b,2010-01-03,2010-01-11,j
8876c,f,2017-04-07,2017-04-11,c
8904c,c,2011-06-08,2011-06-22,g
11773c,b,2014-02-09,2014-02-19,f
12319c,a,2022-08-28,2022-09-07,e
8440,a,2011-01-23,2011-02-08,a
1886,i,2018-05-21,2018-06-05,j
3210c,g,2019-05-12,2019-05-21,c
