id_hcn,site,CIN_SEQ,REASON_CO_OPENED_DESC,DATE_OPENED
9450c,d,h,j,2016-08-17
4993,h,g,c,2011-08-18
3610c,e,h,j,2019-10-03
91,b,b,h,2014-04-08
281c,h,c,j,2020-12-08
6111,c,b,f,2010-10-01
3252,f,d,c,2017-08-11
9532,h,j,d,2010-08-31
9207,e,b,b,2016-08-20
9172,i,h,d,2012-10-02
6475c,a,i,c,2019-12-21
1989,f,b,c,2012-06-26
9912,i,j,i,2013-11-07
11432c,d,c,f,2015-12-23
5568,i,a,d,2021-03-22
4372,a,e,d,2014-10-28
6546c,c,i,h,2015-07-19
8325c,e,g,a,2017-04-28
9671c,d,e,g,2010-07-09
3692c,g,j,g,2016-10-04
7764,e,c,h,2016-09-27
9638,e,b,g,2019-03-04
7962,i,a,b,2018-11-28
10434c,g,h,e,2013-01-05
551c,e,i,f,2013-02-18
9376c,g,g,d,2019-12-09
4233c,f,j,d,2018-05-11
7091,f,h,e,2020-02-14
631,a,e,b,2014-11-03
13153c,e,d,c,2017-12-06
6430c,c,i,i,2020-03-30
4835c,h,a,f,2014-05-07
3672,f,e,i,2016-05-23
4375c,b,h,h,2012-07-19
6734,h,g,g,2018-01-10
6971c,d,c,b,2018-10-09
2958c,c,j,e,2021-06-15
531,i,h,b,2014-09-04
7418c,c,d,g,2011-04-02
6175c,g,b,i,2022-10-10
262,a,a,e,2020-05-27
6625,a,a,i,2018-06-15
9856c,g,b,d,2022-10-07
1851c,h,h,a,2012-05-12
6232,g,d,f,2021-07-02
4067c,d,b,d,2017-06-24
5027c,h,h,d,2010-10-30
6519c,c,h,a,2019-03-26
9393c,b,d,f,2015-05-28
3650c,c,b,h,2011-03-16
517c,g,d,b,2015-08-03
3300c,f,h,i,2018-05-23
9850c,b,j,f,2012-08-26
10546c,e,b,e,2016-01-25
14883c,c,e,a,2010-01-29
12964c,c,i,c,2010-12-26
14358c,c,e,b,2019-03-27
7345c,f,e,h,2023-01-01
1170,h,a,j,2013-07-15
4455c,j,g,i,2013-06-07
5526,j,b,h,2018-05-04
3949,e,d,e,2020-08-26
6742,f,g,a,2014-01-05
7820c,f,e,i,2015-11-26
8407,c,f,j,2011-02-01
6399,c,e,e,2021-09-11
10208c,d,h,e,2014-05-08
7798c,j,a,g,2015-10-26
6229,a,g,c,2017-03-29
4843,a,e,d,2018-02-23
632c,c,h,f,2019-01-26
4329,g,d,g,2020-11-19
2852,j,f,b,2014-11-29
13056c,j,d,i,2011-09-30
9005c,e,i,d,2018-06-23
2471c,b,f,a,2016-06-08
4135c,f,d,i,2010-05-27
13452c,f,a,i,2016-05-17
9069,b,i,a,2015-04-29
13330c,h,g,i,2018-12-30
2313c,g,f,a,2015-12-05
2452,d,e,f,2012-11-03
9085c,c,c,c,2020-02-07
1624c,d,f,e,2022-10-22
2562,f,b,a,2010-04-12
12769c,c,g,e,2011-01-25
8708c,e,g,a,2010-01-08
3237c,d,h,i,2013-04-14
4783,b,g,h,2010-08-21
7181,i,j,b,2012-12-12
452c,g,j,d,2013-05-25
1296,b,g,f,2012-01-12
12568c,f,c,e,2015-03-29
4408c,f,e,a,2020-10-15
11968c,d,a,d,2021-06-09
363,f,f,j,2010-07-21
8811c,j,e,c,2022-03-24
7531c,a,i,h,2016-09-21
8788c,e,i,e,2014-07-24
1973,b,f,f,2014-12-15
11491c,j,h,f,2015-02-26
5288c,i,i,i,2018-05-26
10802c,h,a,g,2015-10-01
3031,b,h,h,2014-04-01
5803,d,g,a,2020-01-01
5596,f,c,h,2019-09-17
6466,b,f,h,2020-01-30
6790,f,h,b,2019-12-09
14042c,a,i,i,2012-01-09
4262c,j,h,c,2019-07-27
14253c,i,c,d,2020-06-02
20c,e,h,h,2021-02-13
6383,j,b,g,2017-07-29
5467c,c,g,e,2017-07-15
8730c,c,f,g,2011-10-23
5517c,i,i,d,2018-02-21
12515c,d,a,j,2011-01-07
8645c,e,h,i,2022-02-11
8559,g,d,a,2020-05-31
2621c,i,i,j,2017-01-29
7000,i,j,h,2016-01-04
12166c,a,g,j,2012-06-06
6935,a,i,h,2012-11-08
4053c,i,f,c,2016-07-11
4894c,i,g,b,2013-11-27
6742c,e,h,i,2018-06-05
1646c,f,i,j,2018-11-30
7563,d,d,a,2020-07-29
2268,h,a,d,2018-10-23
9373c,h,b,b,2010-05-30
8267c,j,e,j,2015-12-14
738c,g,d,i,2013-01-02
9038,j,f,f,2019-02-06
3657c,e,f,h,2012-06-29
9366,c,h,g,2019-03-04
745c,e,f,h,2012-11-10
5657c,h,i,g,2018-04-26
10009c,i,i,e,2017-04-07
4425,d,i,j,2013-06-05
7611,d,f,e,2016-08-18
1794,h,b,f,2014-08-20
8654c,d,c,c,2014-11-26
6924,j,c,i,2015-03-11
1582,e,b,c,2019-10-02
7081,b,d,e,2020-05-22
1006,g,c,e,2015-08-16
10726c,a,b,c,2015-06-28
7526c,h,j,j,2015-12-23
3203,e,e,e,2019-05-29
11164c,g,b,c,2016-01-25
1021,e,i,f,2010-11-27
1113,a,g,j,2019-08-20
538,j,f,f,2018-09-08
2368c,j,a,a,2011-02-01
5224c,d,b,i,2013-08-18
9529,b,b,i,2016-07-31
7600c,h,d,c,2015-02-08
11768c,d,h,c,2021-04-17
8250c,c,h,j,2019-05-20
12179c,b,i,a,2015-11-08
8559,d,a,a,2012-06-13
13430c,a,c,f,2020-04-21
3107c,e,i,g,2019-01-23
133,b,b,c,2016-12-15
6601c,h,h,j,2022-08-27
1145c,e,h,j,2021-06-29
11349c,j,b,d,2020-06-25
6563c,j,h,g,2022-01-01
1983c,d,j,h,2019-07-03
11949c,g,h,c,2021-07-05
2224,i,d,b,2019-04-07
764c,a,d,h,2017-05-18
9198c,a,f,i,2014-01-23
962,b,j,f,2020-03-09
13248c,f,d,g,2020-04-04
4646c,j,a,c,2015-06-09
10016c,f,i,g,2017-02-08
14679c,a,f,h,2015-12-01
9753c,c,b,d,2018-05-06
7338c,h,d,j,2012-02-06
5815,h,i,b,2016-06-29
5351c,a,b,f,2015-12-26
4395,b,e,j,2021-05-13
6156c,g,i,c,2022-09-12
7957c,a,d,g,2021-03-05
4175c,j,a,i,2022-03-02
3336c,a,b,c,2013-10-26
9975c,j,c,j,2016-10-09
4096,d,e,e,2012-06-08
10386c,d,h,h,2015-02-15
4359c,d,a,e,2012-09-24
6595,d,d,a,2013-07-16
653c,d,i,i,2022-12-02
7680c,e,c,h,2017-10-17
8543,d,b,a,2016-08-17
3789,i,h,j,2020-05-11
9414c,a,j,i,2015-10-06
164,j,j,b,2021-08-26
4648c,b,d,h,2015-04-19
2368c,e,f,j,2010-06-21
5199c,i,c,f,2013-11-28
8160c,b,a,e,2017-10-03
4330,g,d,i,2019-03-04
4822c,a,h,c,2018-10-05
1011,h,h,f,2016-08-07
8958c,d,e,b,2013-10-08
5498,c,e,h,2014-11-08
4761c,b,j,j,2016-08-24
3542c,d,h,h,2022-11-18
3161,e,c,i,2010-08-24
8940c,j,a,g,2021-04-03
1149,c,h,d,2011-05-09
290,j,i,e,2020-05-29
392,j,d,b,2013-02-25
7944c,e,b,e,2012-04-25
4018,h,i,d,2022-04-04
3377,c,f,c,2017-07-29
5674c,f,c,i,2015-11-13
11605c,a,b,c,2022-09-10
3684c,d,a,i,2011-08-13
1987c,c,a,c,2020-12-29
5451c,c,i,c,2011-08-05
10407c,j,a,e,2021-08-08
3445,f,g,h,2021-09-24
10354c,d,e,a,2013-12-30
10722c,b,j,f,2019-03-07
7083,j,d,f,2013-11-16
2274c,c,g,e,2019-10-02
9960,g,i,e,2016-01-03
9782,g,h,g,2022-06-29
4286c,f,d,e,2017-02-03
12694c,h,b,d,2015-05-03
4999c,g,d,i,2011-12-13
8511,i,d,j,2019-03-22
3800,b,g,a,2021-03-29
2463,h,h,g,2022-04-27
5471,d,g,i,2012-07-12
4949c,e,c,c,2014-05-07
925c,b,e,d,2016-05-17
9485c,e,c,i,2012-10-27
6120,d,h,f,2013-05-08
5700,c,b,j,2018-10-11
3481c,d,g,h,2015-06-04
9440c,d,c,e,2012-10-22
6526c,e,g,e,2012-03-11
6952c,f,g,d,2012-08-15
3919c,a,d,g,2011-04-08
11967c,c,g,d,2012-05-21
11085c,h,d,g,2012-04-23
7645c,g,a,j,2018-12-08
1765c,i,c,f,2022-09-18
7829c,a,i,i,2012-11-30
6108c,c,h,d,2015-11-25
6675c,g,h,b,2016-07-10
4422c,e,a,c,2017-08-16
6523,d,d,f,2021-07-25
6638,a,h,g,2014-11-10
1328c,f,f,j,2013-07-15
8201,c,g,g,2012-04-19
5265,b,c,i,2018-06-05
6764c,j,j,d,2021-03-10
7563,i,c,g,2011-10-15
6596,d,f,g,2014-11-29
14847c,i,e,j,2011-08-24
87c,e,d,g,2015-11-17
894,g,f,d,2020-11-14
4925c,e,g,h,2012-03-14
1128,f,g,e,2010-04-19
2636,a,i,j,2021-01-23
3095c,a,h,i,2013-06-28
13587c,b,f,j,2014-01-16
266,j,c,e,2013-08-14
3868c,e,g,f,2018-10-05
6169,c,c,g,2010-05-06
10725c,d,e,i,2011-07-22
5279,f,i,f,2022-08-24
9562c,j,j,b,2016-01-12
224c,b,a,c,2017-02-18
14767c,g,g,a,2010-06-28
3062,g,e,d,2022-05-29
521,a,c,a,2017-08-07
8203,d,c,i,2010-06-03
9679,i,i,d,2022-01-30
9342,f,j,h,2022-03-17
13846c,c,b,f,2016-02-24
1308c,d,d,f,2019-06-04
3220c,c,f,i,2011-08-02
3846c,b,j,g,2016-09-15
13657c,j,e,c,2015-02-12
7554c,g,e,g,2014-02-21
2112c,h,d,h,2021-11-23
5321c,g,e,h,2022-01-08
6251,c,h,e,2021-06-02
12845c,c,a,d,2022-04-13
13498c,c,b,b,2020-11-20
916,h,i,e,2017-09-27
9730c,j,e,d,2010-05-04
7510,d,d,h,2017-10-24
8510,f,e,i,2021-01-02
7040,d,b,i,2011-10-26
8643,j,h,a,2012-09-08
274c,f,i,c,2010-03-17
2243,a,g,d,2014-05-28
13493c,e,d,f,2012-12-25
6812c,i,i,i,2022-04-19
9373c,d,c,j,2016-05-07
9222,i,e,a,2018-02-08
9395c,h,f,i,2019-05-31
12530c,e,b,f,2017-01-17
11744c,a,g,c,2022-05-24
2425c,b,b,i,2016-03-29
13503c,e,d,g,2012-07-17
2248,b,e,i,2021-02-21
3426,a,b,a,2022-09-01
9950,b,a,d,2020-10-01
9163c,g,h,h,2015-04-02
8897,i,f,d,2010-07-20
1327,i,d,b,2021-06-23
647,i,g,h,2010-10-31
122c,j,c,f,2018-10-30
12744c,d,h,d,2022-03-03
1590,j,b,f,2018-08-06
1882c,a,i,e,2016-02-29
9728,i,f,c,2015-04-25
5162c,h,e,i,2014-01-09
14704c,h,h,b,2010-09-27
6667c,i,e,i,2018-07-20
5249,i,c,j,2013-06-24
8287,h,i,d,2014-01-22
812c,j,g,g,2017-03-04
2452c,a,c,h,2013-05-28
1003,h,g,e,2022-10-15
6002,d,i,e,2014-10-12
918,f,e,j,2010-11-23
1552,b,e,h,2015-07-20
7949,b,a,d,2020-01-19
748,d,j,c,2018-09-02
7948,h,h,f,2020-08-19
8998c,e,a,j,2022-03-23
11703c,g,a,c,2022-07-10
6708,e,j,c,2013-11-24
11199c,d,e,b,2019-09-24
2744,h,a,b,2013-02-24
5603,h,j,c,2011-01-08
9996c,a,c,i,2019-02-26
1534,f,i,c,2015-09-10
8237,g,j,b,2016-04-08
5776,i,j,f,2015-11-16
3097,c,j,d,2018-04-13
5783,c,j,i,2022-02-20
2763,c,j,d,2015-04-12
7076c,c,h,a,2016-03-25
5172c,e,c,f,2019-06-11
10079c,c,b,j,2018-03-27
8797c,b,i,c,2021-05-31
9788c,i,g,b,2022-01-17
8952,d,e,h,2011-04-16
10607c,a,h,e,2016-02-17
816,d,b,b,2011-02-05
13108c,e,g,a,2017-02-25
1234,g,f,h,2019-02-27
4918,c,i,a,2018-01-06
7372c,c,f,c,2016-03-17
9411,g,a,f,2016-03-23
5808,j,j,c,2021-04-07
5351c,c,g,b,2013-05-10
2092c,a,f,a,2018-08-16
8469c,e,c,b,2013-06-01
7105,c,f,i,2011-04-27
4423,e,d,d,2010-06-23
12687c,e,f,g,2014-09-23
1357,e,i,j,2020-03-03
4829c,b,g,f,2013-12-03
2192c,d,b,d,2022-02-24
618,j,f,c,2022-10-15
5987c,f,i,f,2015-01-16
6362c,g,j,a,2022-12-26
9262,g,a,c,2014-10-03
1682,j,i,b,2017-07-18
12138c,g,j,i,2010-02-22
8988,a,a,h,2021-09-01
3783,a,f,i,2013-11-19
6322c,g,c,h,2014-09-24
3559,c,j,i,2010-06-13
7736,h,d,i,2019-09-15
11459c,f,i,h,2018-01-31
9765c,j,c,i,2013-06-21
9480,h,d,d,2018-08-18
2451c,d,d,a,2017-03-24
6166,g,j,a,2014-10-30
8294c,b,g,c,2017-08-20
5308c,a,i,e,2019-07-27
6360c,e,a,c,2022-09-21
8415,g,c,h,2022-11-10
1936,g,d,a,2010-04-09
4244c,a,d,i,2014-08-17
4146c,h,f,g,2013-09-26
3574c,a,e,d,2015-01-20
5167,e,j,f,2010-01-04
4857c,e,b,h,2019-10-16
2923c,d,c,g,2016-09-25
12671c,d,e,a,2012-02-05
2442c,d,h,c,2011-02-17
5698c,d,i,a,2022-07-01
4444,a,c,g,2013-07-04
14645c,h,j,c,2018-02-12
8501c,b,j,g,2013-03-11
10855c,i,b,h,2011-05-13
7118,b,i,b,2011-01-25
6333c,f,g,i,2022-11-03
10191c,j,j,h,2019-07-26
13751c,f,d,j,2011-04-13
2763,c,d,c,2015-08-18
13963c,e,i,c,2022-04-18
6045c,b,d,j,2018-05-01
4202c,d,d,e,2021-10-23
7990,g,d,i,2022-10-07
2825c,b,a,a,2013-12-27
11878c,d,i,j,2020-06-22
6059,b,g,h,2022-09-20
12249c,c,d,d,2020-02-08
11820c,i,h,d,2020-09-16
4761,d,d,d,2014-03-01
1150c,d,i,b,2015-10-26
14955c,c,b,h,2015-05-29
3810c,d,e,g,2013-05-14
7877c,b,b,f,2015-02-14
12961c,a,c,j,2014-02-14
2588c,j,c,i,2018-06-06
13328c,d,b,h,2022-12-15
982,b,a,d,2017-10-04
1882,a,g,d,2010-03-04
8960c,g,c,d,2015-04-29
4901c,h,f,b,2017-05-25
12787c,d,h,i,2018-08-05
1429,b,c,a,2011-03-15
9312,i,i,f,2017-05-31
7937c,g,j,i,2021-07-18
10049c,a,b,b,2020-12-27
879c,f,i,d,2018-04-11
7248c,c,i,i,2013-05-12
3297,h,j,h,2018-03-06
1866c,e,i,f,2021-08-24
10574c,g,c,j,2021-08-13
293c,a,b,e,2012-07-13
4488,h,i,c,2015-02-20
7425c,i,e,d,2016-01-05
565,g,d,h,2021-10-04
687c,f,c,h,2018-11-30
7833,h,b,e,2014-11-26
6033c,d,d,b,2022-12-15
2614,h,b,j,2013-01-17
13315c,c,i,g,2012-07-05
8732,d,a,i,2019-07-31
8835c,f,c,c,2012-04-17
4673,b,h,c,2017-06-12
14297c,a,h,h,2021-04-13
6915,g,i,e,2022-04-22
9789c,c,a,d,2017-11-20
1043c,f,b,e,2013-12-05
632,e,c,c,2014-03-31
498,c,a,b,2021-04-22
1384c,c,h,c,2018-06-12
672,c,i,d,2021-02-15
1447,h,j,e,2010-03-04
2956c,c,c,b,2010-01-25
6116,c,i,a,2022-06-26
5857c,i,g,e,2012-10-05
6369c,d,d,i,2013-07-24
4950,d,f,c,2011-01-22
10334c,i,c,f,2017-03-30
4972,f,h,g,2020-05-08
7430c,e,i,h,2019-09-10
853,c,g,j,2012-04-14
5120,d,i,b,2019-06-21
280,j,a,g,2021-02-17
6891c,a,g,i,2011-01-01
8319,e,i,f,2017-02-12
3688c,e,b,g,2019-08-23
1102c,e,a,a,2012-12-16
3034,a,f,e,2012-12-05
4693c,g,b,j,2011-06-01
14013c,b,e,c,2017-11-18
8641,a,d,f,2022-02-06
8201c,a,a,d,2015-08-02
1111c,i,b,f,2011-08-20
7052c,b,c,i,2020-01-28
9034c,f,e,e,2010-04-19
6694,a,c,e,2014-01-13
5065c,j,a,f,2015-09-30
5116c,a,b,f,2014-06-13
2120c,h,h,j,2017-05-13
3169,c,f,f,2022-03-17
1402c,b,b,h,2010-09-27
9582,j,h,g,2011-12-15
8135c,b,j,e,2019-04-30
3214c,h,h,g,2016-12-27
1718,e,f,i,2016-05-22
7699c,i,f,i,2014-06-19
5652c,d,i,i,2021-08-03
9333c,j,d,d,2017-07-09
2121c,f,f,f,2017-11-11
7547,f,g,h,2019-06-20
4288c,b,c,a,2013-12-15
9178,c,c,h,2012-08-15
9596,h,a,a,2022-03-13
1929c,h,g,e,2020-10-04
13650c,i,h,d,2011-11-09
7555,e,h,d,2011-02-26
3244,h,f,j,2017-05-06
3103c,j,c,j,2012-06-06
1534,i,b,d,2015-11-01
9753c,h,h,h,2020-02-11
5806,g,e,e,2017-11-13
3544c,b,i,d,2018-05-01
3720,c,a,e,2012-03-03
14568c,d,d,b,2018-04-07
5716c,d,d,e,2013-07-06
2629,h,i,i,2010-06-25
9164,i,e,d,2012-03-06
12933c,c,a,h,2021-07-31
10362c,c,c,d,2016-02-21
8865c,b,j,f,2012-04-25
821c,d,d,h,2019-11-12
5342c,j,c,a,2016-12-24
4032,g,j,e,2017-06-26
3333,a,g,e,2014-12-16
6549,d,e,i,2020-09-18
8636,e,i,c,2018-08-09
924,a,h,a,2017-12-06
8665,i,b,e,2010-08-24
5879,h,h,f,2019-07-08
10422c,e,a,b,2022-03-14
1987c,b,c,g,2018-04-04
8281,h,a,f,2020-11-27
26c,g,b,g,2019-05-01
111c,f,f,a,2013-07-08
3611,e,d,b,2012-02-22
5933c,j,h,f,2016-04-11
574,a,b,f,2015-09-21
278,e,d,f,2014-12-12
6933,i,e,a,2010-11-28
168c,g,c,g,2019-05-06
11819c,e,g,c,2015-08-02
6426c,f,e,d,2022-09-03
1621c,e,d,j,2016-06-16
9796,a,h,d,2011-07-03
1362,j,e,f,2013-09-03
